date,open,high,low,close,volume
2022-09-24 23:00:00,0.4869,0.4909,0.4864,0.4894,4089069.0
2022-09-24 22:00:00,0.4945,0.4946,0.4824,0.487,29456214.0
2022-09-24 21:00:00,0.5036,0.5085,0.4817,0.4946,45911444.0
2022-09-24 20:00:00,0.4979,0.5062,0.4959,0.5036,22271544.0
2022-09-24 19:00:00,0.5022,0.5029,0.4933,0.498,26514808.0
2022-09-24 18:00:00,0.4947,0.5066,0.4883,0.5023,40132177.0
2022-09-24 17:00:00,0.4839,0.4973,0.4837,0.4947,28317458.0
2022-09-24 16:00:00,0.4785,0.4888,0.4763,0.4839,30622229.0
2022-09-24 15:00:00,0.4745,0.4799,0.4734,0.4785,19888787.0
2022-09-24 14:00:00,0.4918,0.4925,0.4717,0.4745,50100683.0
2022-09-24 13:00:00,0.4963,0.4999,0.4888,0.4918,20934602.0
2022-09-24 12:00:00,0.4941,0.4977,0.49,0.4962,17984877.0
2022-09-24 11:00:00,0.4933,0.4986,0.4898,0.4942,21394055.0
2022-09-24 10:00:00,0.4944,0.4958,0.488,0.4933,15402709.0
2022-09-24 09:00:00,0.4956,0.496,0.4911,0.4944,11332823.0
2022-09-24 08:00:00,0.4921,0.4984,0.4844,0.4956,27278696.0
2022-09-24 07:00:00,0.5034,0.5038,0.4881,0.4922,50339941.0
2022-09-24 06:00:00,0.5085,0.5195,0.5013,0.5034,45748581.0
2022-09-24 05:00:00,0.502,0.5109,0.4996,0.5085,20862879.0
2022-09-24 04:00:00,0.5017,0.5113,0.4998,0.502,25135268.0
2022-09-24 03:00:00,0.4991,0.5042,0.4967,0.5016,16777712.0
2022-09-24 02:00:00,0.502,0.5082,0.4969,0.4991,29591671.0
2022-09-24 01:00:00,0.5078,0.5137,0.4986,0.5019,34695788.0
2022-09-24 00:00:00,0.5069,0.5144,0.4961,0.5078,62625613.0
2022-09-23 23:00:00,0.5274,0.5276,0.5012,0.5069,61452440.0
2022-09-23 22:00:00,0.5157,0.5288,0.5056,0.5272,94496423.0
2022-09-23 21:00:00,0.4935,0.516,0.4867,0.5157,64529281.0
2022-09-23 20:00:00,0.4716,0.4965,0.4696,0.4935,84438331.0
2022-09-23 19:00:00,0.4582,0.4729,0.4574,0.4716,34881301.0
2022-09-23 18:00:00,0.4717,0.4748,0.4564,0.4583,63024373.0
2022-09-23 17:00:00,0.4727,0.4768,0.466,0.4718,34571350.0
2022-09-23 16:00:00,0.4892,0.4926,0.463,0.4728,90155219.0
2022-09-23 15:00:00,0.479,0.4951,0.4749,0.4893,60175058.0
2022-09-23 14:00:00,0.4779,0.485,0.4738,0.479,61506545.0
2022-09-23 13:00:00,0.4886,0.4993,0.473,0.478,77974600.0
2022-09-23 12:00:00,0.488,0.4981,0.4849,0.4886,66187012.0
2022-09-23 11:00:00,0.4905,0.493,0.4787,0.488,84464322.0
2022-09-23 10:00:00,0.5058,0.5098,0.4873,0.4906,63139618.0
2022-09-23 09:00:00,0.5056,0.507,0.4919,0.5058,77914234.0
2022-09-23 08:00:00,0.5175,0.5214,0.4947,0.5055,142030588.0
2022-09-23 07:00:00,0.5393,0.5436,0.5159,0.5176,109923353.0
2022-09-23 06:00:00,0.5374,0.5427,0.5314,0.5393,61116816.0
2022-09-23 05:00:00,0.5358,0.559,0.5354,0.5374,117053119.0
2022-09-23 04:00:00,0.5387,0.5429,0.5287,0.5358,80039533.0
2022-09-23 03:00:00,0.4981,0.5477,0.498,0.5386,172582045.0
